Messier,NGC,Common_Name,Object_Type,RA_Hours,RA_Decimal,Dec_Text,Dec_Decimal,Constellation,Magnitude,Best_Season
M56,NGC 6779,,Globular cluster,19:17,289.25,+30:11,30.183,Lyra,8.3,summer
M57,NGC 6720,Ring Nebula,Planetary nebula,18:54,283.5,+33:02,33.033,Lyra,8.8,summer
M58,NGC 4579,,Galaxy,12:38,189.5,+11:49,11.817,Virgo,9.7,spring
M59,NGC 4621,,Galaxy,12:42,190.5,+11:39,11.65,Virgo,9.6,spring
M60,NGC 4649,,Galaxy,12:44,191.0,+11:33,11.55,Virgo,8.8,spring
M61,NGC 4303,,Galaxy,12:22,185.5,+04:28,4.467,Virgo,9.7,spring
M62,NGC 6266,,Globular cluster,17:01,255.25,-30:07,-30.117,Scorpius,6.5,summer
M63,NGC 5055,Sunflower Galaxy,Galaxy,13:16,199.0,+42:02,42.033,Canes Venatici,8.6,spring
M64,NGC 4826,Black Eye Galaxy,Galaxy,12:57,194.25,+21:41,21.683,Coma Berenices,8.5,spring
M65,NGC 3623,,Galaxy,11:19,169.75,+13:05,13.083,Leo,9.3,spring
M66,NGC 3627,,Galaxy,11:20,170.0,+12:59,12.983,Leo,8.9,spring
M67,NGC 2682,,Open cluster,08:50,132.5,+11:49,11.817,Cancer,6.1,winter
M68,NGC 4590,,Globular cluster,12:39,189.75,-26:45,-26.75,Hydra,7.8,spring
M69,NGC 6637,,Globular cluster,18:31,277.75,-32:21,-32.35,Sagittarius,7.6,summer
M70,NGC 6681,,Globular cluster,18:43,280.75,-32:18,-32.3,Sagittarius,7.9,summer
M71,NGC 6838,,Globular cluster,19:54,298.5,+18:47,18.783,Sagitta,8.2,summer
M72,NGC 6981,,Globular cluster,20:54,313.5,-12:32,-12.533,Aquarius,9.3,summer
M73,NGC 6994,,Open cluster,20:59,314.75,-12:38,-12.633,Aquarius,9.0,summer
M74,NGC 628,,Galaxy,01:37,24.25,+15:47,15.783,Pisces,9.4,autumn
M75,NGC 6864,,Globular cluster,20:06,301.5,-21:55,-21.917,Sagittarius,8.5,summer
M76,NGC 650,Little Dumbbell,Planetary nebula,01:42,25.5,+51:34,51.567,Perseus,10.1,autumn
M77,NGC 1068,,Galaxy,02:43,40.75,-00:01,-0.017,Cetus,8.9,winter
M78,NGC 2068,,Nebula,05:47,86.75,+00:03,0.05,Orion,8.3,winter
M79,NGC 1904,,Globular cluster,05:25,81.25,-24:31,-24.517,Lepus,7.7,winter
M80,NGC 6093,,Globular cluster,16:17,244.25,-22:59,-22.983,Scorpius,7.3,summer
M81,NGC 3031,Bode's Galaxy,Galaxy,09:56,149.0,+69:04,69.067,Ursa Major,6.9,spring
M82,NGC 3034,Cigar Galaxy,Galaxy,09:56,149.0,+69:41,69.683,Ursa Major,8.4,spring
M83,NGC 5236,,Galaxy,13:37,204.25,-29:52,-29.867,Hydra,7.6,spring
M84,NGC 4374,,Galaxy,12:25,186.25,+12:53,12.883,Virgo,9.1,spring
M85,NGC 4382,,Galaxy,12:25,186.25,+18:11,18.183,Coma Berenices,9.1,spring
M86,NGC 4406,,Galaxy,12:26,186.5,+12:57,12.95,Virgo,8.9,spring
M87,NGC 4486,Virgo A,Galaxy,12:31,187.75,+12:23,12.383,Virgo,8.6,spring
M88,NGC 4501,,Galaxy,12:32,188.0,+14:25,14.417,Coma Berenices,9.6,spring
M89,NGC 4552,,Galaxy,12:36,189.0,+12:33,12.55,Virgo,9.8,spring
M90,NGC 4569,,Galaxy,12:37,189.25,+13:10,13.167,Virgo,9.5,spring
M91,NGC 4548,,Galaxy,12:35,188.75,+14:30,14.5,Coma Berenices,10.2,spring
M92,NGC 6341,,Globular cluster,17:17,259.25,+43:08,43.133,Hercules,6.4,summer
M93,NGC 2447,,Open cluster,07:45,116.25,-23:52,-23.867,Puppis,6.0,winter
M94,NGC 4736,,Galaxy,12:51,192.75,+41:07,41.117,Canes Venatici,8.2,spring
M95,NGC 3351,,Galaxy,10:44,161.0,+11:42,11.7,Leo,9.7,spring
M96,NGC 3368,,Galaxy,10:47,161.75,+11:49,11.817,Leo,9.2,spring
M97,NGC 3587,Owl Nebula,Planetary nebula,11:15,168.75,+55:01,55.017,Ursa Major,9.9,spring
M98,NGC 4192,,Galaxy,12:14,183.5,+14:54,14.9,Coma Berenices,10.1,spring
M99,NGC 4254,,Galaxy,12:19,184.75,+14:25,14.417,Coma Berenices,9.9,spring
M100,NGC 4321,,Galaxy,12:23,185.75,+15:49,15.817,Coma Berenices,9.3,spring
M101,NGC 5457,Pinwheel Galaxy,Galaxy,14:03,210.75,+54:21,54.35,Ursa Major,7.9,spring
M102,NGC 5866,,Galaxy,15:07,226.75,+55:46,55.767,Draco,9.9,summer
M103,NGC 581,,Open cluster,01:33,23.25,+60:42,60.7,Cassiopeia,7.4,autumn
M104,NGC 4594,Sombrero Galaxy,Galaxy,12:40,190.0,-11:37,-11.617,Virgo,8.0,spring
M105,NGC 3379,,Galaxy,10:48,162.0,+12:35,12.583,Leo,9.3,spring
M106,NGC 4258,,Galaxy,12:19,184.75,+47:18,47.3,Canes Venatici,8.4,spring
M107,NGC 6171,,Globular cluster,16:33,248.25,-13:03,-13.05,Ophiuchus,7.9,summer
M108,NGC 3556,,Galaxy,11:12,168.0,+55:40,55.667,Ursa Major,10.0,spring
M109,NGC 3992,,Galaxy,11:58,179.5,+53:23,53.383,Ursa Major,9.8,spring
M110,NGC 205,,Galaxy,00:40,10.0,+41:41,41.683,Andromeda,8.5,autumn
